SR NO.,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price,,,,,,,,
189,Ford Ecosport,08-Jul-05,64393,1,PETROL,MH-14,Manual,SUV,544000,,,,,,,,
190,Ford Ecosport,08-Jul-05,97711,1,DIESEL,HR-30,Manual,SUV,485000,,,,,,,,
191,Ford Ecosport,11-Jul-05,58565,2,DIESEL,MH-14,Manual,SUV,861000,,,,,,,,
192,Ford Ecosport,09-Jul-05,87141,1,PETROL,TN-07,Manual,SUV,643000,,,,,,,,
193,Ford Ecosport,11-Jul-05,45133,1,PETROL,KA-01,Manual,SUV,961000,,,,,,,,
194,Ford Ecosport,10-Jul-05,33388,2,PETROL,DL-12,Automatic,SUV,793000,,,,,,,,
195,Ford Ecosport,11-Jul-05,42354,1,DIESEL,MH-01,Manual,SUV,1002000,,,,,,,,
196,Ford Ecosport,09-Jul-05,34132,2,PETROL,TN-04,Manual,SUV,722000,,,,,,,,
197,Ford Ecosport,10-Jul-05,51323,2,PETROL,HR-26,Manual,SUV,726000,,,,,,,,
198,Ford Ecosport,10-Jul-05,31128,1,PETROL,MH-05,Automatic,SUV,785000,,,,,,,,
199,Ford Ecosport,10-Jul-05,26246,1,PETROL,DL-12,Automatic,SUV,843000,,,,,,,,
200,Ford Ecosport,09-Jul-05,98410,1,PETROL,KL-63,Manual,SUV,575000,,,,,,,,
201,Ford Ecosport,13-Jul-05,39677,1,PETROL,RJ-45,Manual,SUV,819600,,,,,,,,
202,Ford Ecosport,09-Jul-05,39530,1,PETROL,WB-02,Manual,SUV,565000,,,,,,,,
203,Ford Ecosport,08-Jul-05,62347,1,PETROL,TS-09,Automatic,SUV,678000,,,,,,,,
204,Ford Ecosport,08-Jul-05,88415,2,PETROL,KA-03,Automatic,SUV,703000,,,,,,,,
205,Ford Ecosport,11-Jul-05,45739,1,PETROL,HR-26,Manual,SUV,726000,,,,,,,,
206,Ford Ecosport,10-Jul-05,54831,1,DIESEL,DL-11,Manual,SUV,674000,,,,,,,,
207,Ford Ecosport,09-Jul-05,88695,1,DIESEL,TS-09,Manual,SUV,724000,,,,,,,,
208,Ford Ecosport,11-Jul-05,83865,1,PETROL,GJ-01,Automatic,SUV,880000,,,,,,,,
209,Ford Ecosport,12-Jul-05,96075,1,DIESEL,DL-3C,Manual,SUV,750000,,,,,,,,
210,Ford Ecosport,09-Jul-05,61411,1,DIESEL,UP-32,Manual,SUV,653000,,,,,,,,
211,Ford Ecosport,09-Jul-05,46609,2,PETROL,UP-32,Manual,SUV,622000,,,,,,,,
212,Ford Ecosport,07-Jul-05,40632,1,PETROL,DL-12,Manual,SUV,540000,,,,,,,,
213,Ford Ecosport,07-Jul-05,55610,2,PETROL,TN-18,Automatic,SUV,555500,,,,,,,,
214,Ford Ecosport,10-Jul-05,64200,2,DIESEL,TN-14,Manual,SUV,829000,,,,,,,,
215,Ford Ecosport,10-Jul-05,49360,1,PETROL,GJ-38,Automatic,SUV,842000,,,,,,,,
216,Ford Ecosport,09-Jul-05,93866,2,DIESEL,MP-09,Manual,SUV,637000,,,,,,,,
217,Ford Ecosport,08-Jul-05,54909,2,PETROL,KA-03,Automatic,SUV,719000,,,,,,,,
218,Ford Ecosport,09-Jul-05,35660,2,PETROL,TN-10,Automatic,SUV,805000,,,,,,,,
219,Ford Ecosport,11-Jul-05,42595,1,DIESEL,MH-12,Manual,SUV,896000,,,,,,,,
220,Ford Ecosport,10-Jul-05,71070,1,PETROL,GJ-06,Automatic,SUV,812000,,,,,,,,
