bike_name,price,city,kms_driven,owner,age,power,brand,,,,
Bajaj Avenger 220cc,55000,Bangalore,32734,First Owner,6,220,Bajaj,,,Yamaha FZ16 150cc,51
Bajaj Avenger 220cc,173300,Vadodara,14000,First Owner,2,410,Royal Enfield,,,Yamaha FZ25 250cc,40
Bajaj Avenger 220cc,77000,Delhi,13000,First Owner,8,350,Royal Enfield,,,Yamaha FZs 150cc,127
Bajaj Avenger 220cc,115000,Bangalore,5000,First Owner,2,200,Bajaj,,,Yamaha SZR 150cc,35
Bajaj Avenger 220cc,36000,Hyderabad,39500,First Owner,7,150,Bajaj,,,Yamaha SZ-RR 150cc,613
Bajaj Avenger 220cc,72000,Hyderabad,29500,First Owner,4,220,Bajaj,,,Yamaha YZF-R15 150cc,69
Bajaj Avenger 220cc,115000,Hyderabad,14900,First Owner,3,350,Royal Enfield,,,Yamaha YZF-R15 2.0 150cc,769
Bajaj Avenger 220cc,65000,Mumbai,2000,First Owner,3,125,Honda,,,Yamaha YZF-R15 S 150cc,20
Bajaj Avenger 220cc,99000,Mumbai,4000,First Owner,2,150,Honda,,,Yamaha YZF-R15 V3 150cc,41
Bajaj Avenger 220cc,68500,Delhi,68500,Second Owner,7,150,Yamaha,,,(blank),
Bajaj Avenger 220cc,140000,Delhi,2473,First Owner,2,150,Yamaha,,,Grand Total,31075
Bajaj Avenger 220cc,130000,Delhi,9221,First Owner,3,200,KTM,,,,
Bajaj Avenger 220cc,46000,Delhi,37128,First Owner,7,200,Bajaj,,,,
Bajaj Avenger 220cc,30000,Delhi,16166,First Owner,6,125,Hero,,,,
Bajaj Avenger 220cc,116000,Delhi,11716,First Owner,3,400,Bajaj,,,,
Bajaj Avenger 220cc,130000,Delhi,8419,First Owner,3,350,Royal Enfield,,,,
Bajaj Avenger 220cc,98000,Delhi,13459,First Owner,5,350,Royal Enfield,,,,
Bajaj Avenger 220cc,85000,Delhi,14704,First Owner,6,350,Royal Enfield,,,,
Bajaj Avenger 220cc,110000,Bangalore,24676,First Owner,5,410,Royal Enfield,,,,
Bajaj Avenger 220cc,173300,Vadodara,14000,First Owner,2,410,Royal Enfield,,,,
